Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
1,Virginia,8.5,8.7,8.0,8.2,8.8,9.7,https://www.teamrankings.com/ncaa-basketball/team/virginia-cavaliers
2,Wisconsin,8.6,9.7,12.0,7.9,9.3,8.7,https://www.teamrankings.com/ncaa-basketball/team/wisconsin-badgers
3,Notre Dame,8.8,8.3,8.0,8.7,8.9,10.4,https://www.teamrankings.com/ncaa-basketball/team/notre-dame-fighting-irish
4,Penn St,9.0,9.0,9.0,8.5,9.3,11.8,https://www.teamrankings.com/ncaa-basketball/team/penn-st-nittany-lions
5,Oral Roberts,9.3,10.7,9.0,8.8,9.7,9.6,https://www.teamrankings.com/ncaa-basketball/team/oral-roberts-golden-eagles
6,Vermont,9.4,6.7,10.0,8.1,10.2,9.6,https://www.teamrankings.com/ncaa-basketball/team/vermont-catamounts
7,NC State,9.4,8.7,6.0,9.2,9.6,10.0,https://www.teamrankings.com/ncaa-basketball/team/nc-state-wolfpack
8,Toledo,9.6,8.3,4.0,8.0,10.6,10.3,https://www.teamrankings.com/ncaa-basketball/team/toledo-rockets
9,Northwestern,9.6,6.3,8.0,9.2,10.1,9.8,https://www.teamrankings.com/ncaa-basketball/team/northwestern-wildcats
10,St. Thomas,9.7,9.0,9.0,8.8,10.2,8.4,https://www.teamrankings.com/ncaa-basketball/team/st-thomas-mn-tommies
11,S Alabama,9.7,8.0,9.0,9.7,9.8,13.0,https://www.teamrankings.com/ncaa-basketball/team/south-alabama-jaguars
12,Iowa,9.8,8.3,8.0,9.8,9.9,9.2,https://www.teamrankings.com/ncaa-basketball/team/iowa-hawkeyes
13,VA Tech,9.9,9.7,8.0,9.7,10.1,10.9,https://www.teamrankings.com/ncaa-basketball/team/virginia-tech-hokies
14,N Hampshire,9.9,6.7,12.0,8.4,11.3,9.3,https://www.teamrankings.com/ncaa-basketball/team/new-hampshire-wildcats
15,Houston,10.0,10.7,8.0,10.4,9.5,11.1,https://www.teamrankings.com/ncaa-basketball/team/houston-cougars
16,UCLA,10.0,7.3,6.0,10.7,9.5,8.9,https://www.teamrankings.com/ncaa-basketball/team/ucla-bruins
17,Villanova,10.1,7.7,8.0,8.3,11.2,9.9,https://www.teamrankings.com/ncaa-basketball/team/villanova-wildcats
18,Maryland BC,10.2,7.7,7.0,9.1,11.3,11.1,https://www.teamrankings.com/ncaa-basketball/team/umbc-retrievers
19,Colgate,10.2,7.7,11.0,8.3,11.7,11.5,https://www.teamrankings.com/ncaa-basketball/team/colgate-raiders
20,W Illinois,10.3,7.3,7.0,10.3,10.3,11.6,https://www.teamrankings.com/ncaa-basketball/team/western-illinois-leathernecks
21,Nevada,10.3,10.7,11.0,9.1,11.3,13.0,https://www.teamrankings.com/ncaa-basketball/team/nevada-wolf-pack
22,Liberty,10.3,10.0,7.0,9.9,10.8,12.0,https://www.teamrankings.com/ncaa-basketball/team/liberty-flames
23,Iona,10.4,9.7,6.0,9.8,10.7,12.7,https://www.teamrankings.com/ncaa-basketball/team/iona-gaels
24,Michigan,10.5,14.3,15.0,10.5,10.4,11.6,https://www.teamrankings.com/ncaa-basketball/team/michigan-wolverines
25,St Marys,10.5,10.7,9.0,9.4,11.6,11.1,https://www.teamrankings.com/ncaa-basketball/team/saint-marys-gaels
26,GA Tech,10.5,6.0,8.0,11.5,9.6,13.2,https://www.teamrankings.com/ncaa-basketball/team/georgia-tech-yellow-jackets
27,Stetson,10.6,11.0,15.0,11.3,10.2,13.3,https://www.teamrankings.com/ncaa-basketball/team/stetson-hatters
28,Drake,10.6,9.7,12.0,10.4,10.8,10.7,https://www.teamrankings.com/ncaa-basketball/team/drake-bulldogs
29,Charlotte,10.6,9.7,10.0,10.1,11.0,11.5,https://www.teamrankings.com/ncaa-basketball/team/charlotte-49ers
30,Oakland,10.6,7.3,7.0,11.2,10.2,12.4,https://www.teamrankings.com/ncaa-basketball/team/oakland-golden-grizzlies
31,Cincinnati,10.7,11.0,8.0,10.4,10.9,10.4,https://www.teamrankings.com/ncaa-basketball/team/cincinnati-bearcats
31,Maryland,10.7,11.3,13.0,9.5,11.7,11.4,https://www.teamrankings.com/ncaa-basketball/team/maryland-terrapins
