Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Virginia,8.5,8.7,8.0,8.2,8.8,9.7
2,Wisconsin,8.6,9.7,12.0,7.9,9.3,8.7
3,Notre Dame,8.8,8.3,8.0,8.7,8.9,10.4
4,Penn St,9.0,9.0,9.0,8.5,9.3,11.8
5,Oral Roberts,9.3,10.7,9.0,8.8,9.7,9.6
6,Vermont,9.4,6.7,10.0,8.1,10.2,9.6
7,NC State,9.4,8.7,6.0,9.2,9.6,10.0
8,Toledo,9.6,8.3,4.0,8.0,10.6,10.3
9,Northwestern,9.6,6.3,8.0,9.2,10.1,9.8
10,St. Thomas,9.7,9.0,9.0,8.8,10.2,8.4
11,S Alabama,9.7,8.0,9.0,9.7,9.8,13.0
12,Iowa,9.8,8.3,8.0,9.8,9.9,9.2
13,VA Tech,9.9,9.7,8.0,9.7,10.1,10.9
14,N Hampshire,9.9,6.7,12.0,8.4,11.3,9.3
15,Houston,10.0,10.7,8.0,10.4,9.5,11.1
16,UCLA,10.0,7.3,6.0,10.7,9.5,8.9
17,Villanova,10.1,7.7,8.0,8.3,11.2,9.9
18,Maryland BC,10.2,7.7,7.0,9.1,11.3,11.1
19,Colgate,10.2,7.7,11.0,8.3,11.7,11.5
20,W Illinois,10.3,7.3,7.0,10.3,10.3,11.6
21,Nevada,10.3,10.7,11.0,9.1,11.3,13.0
22,Liberty,10.3,10.0,7.0,9.9,10.8,12.0
23,Iona,10.4,9.7,6.0,9.8,10.7,12.7
24,Michigan,10.5,14.3,15.0,10.5,10.4,11.6
25,St Marys,10.5,10.7,9.0,9.4,11.6,11.1
26,GA Tech,10.5,6.0,8.0,11.5,9.6,13.2
27,Stetson,10.6,11.0,15.0,11.3,10.2,13.3
28,Drake,10.6,9.7,12.0,10.4,10.8,10.7
29,Charlotte,10.6,9.7,10.0,10.1,11.0,11.5
30,Oakland,10.6,7.3,7.0,11.2,10.2,12.4
31,Maryland,10.7,11.3,13.0,9.5,11.7,11.4
31,Cincinnati,10.7,11.0,8.0,10.4,10.9,10.4
33,Gonzaga,10.7,12.0,9.0,8.9,11.8,11.6
34,W Carolina,10.7,9.0,10.0,10.7,10.7,12.4
35,Ohio St,10.7,7.3,9.0,11.3,10.3,11.2
36,Marquette,10.7,8.3,16.0,10.8,10.7,12.4
37,Davidson,10.7,8.3,12.0,9.6,11.7,9.7
38,N Carolina,10.8,9.0,11.0,9.6,11.7,11.7
39,Vanderbilt,10.8,10.3,9.0,10.6,11.1,13.1
40,App State,10.8,9.3,8.0,10.9,10.7,10.5
41,NJIT,10.8,9.7,12.0,11.6,10.3,12.6
42,Hofstra,10.9,13.7,11.0,9.4,11.6,10.4
43,Wofford,10.9,9.0,11.0,10.3,11.3,11.5
44,Furman,10.9,8.7,9.0,10.8,11.0,10.5
45,Michigan St,10.9,11.0,13.0,10.4,11.2,12.8
46,N Arizona,10.9,9.3,13.0,9.3,11.9,13.8
47,GA Southern,10.9,9.7,16.0,10.5,11.2,14.2
48,Youngs St,10.9,10.7,8.0,9.5,12.2,11.7
49,Murray St,11.0,9.7,9.0,10.9,11.1,11.6
50,Clemson,11.0,10.7,7.0,10.5,11.6,11.0
51,Hampton,11.1,13.7,17.0,9.4,12.1,12.6
52,N Alabama,11.1,12.3,16.0,9.5,11.9,12.0
53,Miami,11.1,9.0,9.0,11.2,11.0,9.5
54,Purdue,11.1,10.0,16.0,10.4,11.6,11.8
55,Montana,11.1,11.7,15.0,9.9,11.9,10.5
56,Pittsburgh,11.1,10.3,9.0,11.4,10.9,13.6
57,Missouri,11.1,7.3,7.0,11.7,10.5,14.6
58,N Kentucky,11.2,6.7,7.0,12.1,10.4,13.2
58,UCSB,11.2,9.0,14.0,10.4,11.7,13.0
60,Yale,11.2,11.7,11.0,10.0,11.7,12.9
61,Colorado St,11.2,11.7,10.0,9.4,12.8,10.1
61,Delaware,11.2,7.0,7.0,11.0,11.3,12.5
63,Akron,11.2,14.0,18.0,10.4,11.9,11.3
64,Florida,11.2,14.0,18.0,11.4,11.1,12.4
64,Boise St,11.2,9.7,9.0,11.5,11.1,12.1
66,Old Dominion,11.3,12.3,11.0,10.5,12.1,12.2
67,Ohio,11.3,11.7,17.0,9.9,12.3,10.6
68,Navy,11.3,7.7,7.0,9.7,12.7,12.9
69,Kent St,11.3,9.0,9.0,11.5,11.2,12.4
70,San Diego,11.3,11.3,9.0,10.9,11.7,12.6
71,Tulane,11.3,12.7,15.0,11.6,11.1,10.5
72,New Mexico,11.3,10.3,9.0,11.1,11.7,11.6
73,Marshall,11.4,10.0,7.0,11.3,11.5,13.2
74,Princeton,11.4,8.3,5.0,11.5,11.2,10.1
75,North Dakota,11.4,11.3,15.0,12.0,10.9,12.1
76,Rutgers,11.4,9.0,10.0,11.8,10.9,11.5
77,F Dickinson,11.4,11.3,11.0,11.2,11.5,13.7
78,Fla Gulf Cst,11.5,11.0,15.0,9.8,12.5,13.6
79,Texas St,11.5,11.3,12.0,13.2,10.6,12.2
79,Bellarmine,11.5,12.7,12.0,11.9,11.3,9.5
81,Indiana,11.5,8.0,12.0,11.1,11.9,11.8
82,Richmond,11.5,12.0,10.0,11.7,11.4,9.8
83,San Diego St,11.5,9.0,12.0,11.9,11.3,12.8
84,Fresno St,11.5,10.7,14.0,11.3,11.7,11.2
85,Austin Peay,11.5,8.7,10.0,11.7,11.4,14.3
86,South Dakota,11.6,7.7,8.0,10.3,12.4,10.3
87,Texas,11.6,9.3,14.0,11.3,11.8,11.5
88,Idaho,11.6,13.3,15.0,11.3,11.8,13.2
89,Creighton,11.6,12.3,10.0,10.9,12.1,14.1
89,Fla Atlantic,11.6,14.7,10.0,11.2,11.9,13.5
91,Idaho St,11.6,8.3,7.0,12.6,10.9,13.9
92,Pacific,11.6,8.7,11.0,11.2,12.0,12.1
93,Belmont,11.6,7.0,7.0,11.8,11.5,11.8
94,Lafayette,11.6,13.0,5.0,12.3,11.3,11.0
95,W Kentucky,11.7,12.7,14.0,11.5,11.8,12.4
95,S Dakota St,11.7,9.3,7.0,10.0,12.6,10.9
95,Drexel,11.7,11.3,8.0,12.1,11.3,11.2
98,Syracuse,11.7,12.0,12.0,11.9,11.4,10.7
99,Jacksonville,11.7,9.3,8.0,10.2,12.6,11.7
100,Cleveland St,11.7,12.3,10.0,10.6,12.5,13.8
101,Arkansas St,11.7,9.0,10.0,11.7,11.7,14.3
102,N Dakota St,11.7,10.0,12.0,10.5,12.4,11.7
103,Arizona St,11.7,9.7,13.0,12.4,11.2,11.9
104,Providence,11.7,10.0,10.0,11.5,12.0,11.4
105,Rider,11.8,10.0,13.0,10.3,12.8,11.9
106,Kentucky,11.8,13.3,16.0,10.6,13.1,11.6
107,CS Fullerton,11.8,10.0,12.0,10.6,12.5,11.9
108,Butler,11.8,11.3,11.0,11.3,12.4,12.0
109,Bradley,11.8,8.7,11.0,11.5,12.1,13.5
110,Niagara,11.8,13.3,12.0,11.6,12.0,11.0
111,Campbell,11.8,9.7,7.0,12.2,11.7,10.4
112,San Jose St,11.9,11.3,12.0,11.6,12.1,13.2
113,Seattle,11.9,12.0,8.0,13.3,10.9,11.8
113,Longwood,11.9,12.0,15.0,11.4,12.2,12.4
115,NW State,11.9,13.3,7.0,12.8,11.4,14.8
116,Marist,11.9,14.3,18.0,11.0,12.6,12.4
117,Col Charlestn,11.9,10.3,10.0,11.9,11.8,15.6
118,TX Christian,11.9,9.3,9.0,12.3,11.5,14.5
119,Boston U,11.9,9.7,10.0,11.2,12.4,12.0
120,Radford,11.9,11.3,9.0,11.8,12.0,13.5
121,North Texas,11.9,12.0,11.0,11.6,12.1,11.4
122,E Michigan,11.9,11.7,11.0,11.8,12.0,13.9
122,Fairfield,11.9,12.3,15.0,11.5,12.2,11.1
124,Cal Baptist,11.9,12.3,12.0,11.4,12.4,14.1
124,Mercer,11.9,15.0,16.0,11.8,12.1,12.2
126,NC-Grnsboro,12.0,9.3,8.0,10.8,12.7,12.8
127,Duquesne,12.0,12.3,14.0,11.7,12.5,11.5
128,E Kentucky,12.0,10.0,10.0,11.4,12.3,11.4
129,Tennessee,12.0,11.0,6.0,10.9,12.9,12.3
130,Duke,12.0,11.3,15.0,11.3,12.6,10.3
130,Cornell,12.0,12.3,11.0,10.6,13.0,14.4
130,Wash State,12.0,11.3,11.0,11.1,12.7,11.2
133,Montana St,12.0,14.7,16.0,9.4,13.4,13.0
134,Detroit,12.0,11.0,13.0,10.5,13.1,11.7
134,Utah,12.0,10.3,12.0,11.1,13.2,12.3
136,N Iowa,12.0,10.3,7.0,13.3,10.8,11.2
137,Canisius,12.0,11.3,7.0,12.9,11.4,11.8
137,Charl South,12.0,12.7,11.0,11.9,12.1,15.0
139,Dayton,12.1,9.7,8.0,11.9,12.2,12.4
140,Grd Canyon,12.1,8.7,7.0,12.5,11.7,12.9
141,Chattanooga,12.1,12.3,10.0,11.4,12.5,11.2
141,Saint Louis,12.1,10.7,15.0,11.2,13.0,13.1
143,Wyoming,12.1,12.7,11.0,12.4,11.8,11.4
144,SE Louisiana,12.1,11.7,17.0,11.8,12.2,14.7
